"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason"
"Directory","C:\Users\m1389\AppData\Local\Kingsoft\WPS Office","2954710683","2.75 GB","未分类","2026/4/10 15:45:13","2026/2/4 7:15:52","高风险","保留不动","2954710683","2.75 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\assembly\NativeImages_v4.0.30319_64","2834609412","2.64 GB","未分类","2026/4/10 15:41:44","2026/4/7 13:09:23","高风险","保留不动","2834609412","2.64 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\ProgramData\NVIDIA Corporation\NVIDIA App\UpdateFramework\ota-artifacts\crd\post-processing\884588d655dec5cd83c60f19821cd520\Display.Driver","2822939434","2.63 GB","未分类","2026/4/10 15:25:37","2026/3/7 1:15:20","高风险","保留不动","2822939434","2.63 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\System32\DriverStore\FileRepository\nvltsi.inf_amd64_4e7e8eed8ba2af30","2799466251","2.61 GB","未分类","2026/4/10 15:45:33","2026/3/11 21:59:23","高风险","保留不动","2799466251","2.61 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Temp","2797306881","2.61 GB","未分类","2026/4/10 15:45:33","2026/4/10 15:45:05","高风险","保留不动","2797306881","2.61 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files\Microsoft Visual Studio\2022\Community\Common7","2732454975","2.54 GB","未分类","2026/4/10 15:21:58","2025/11/9 23:16:33","高风险","保留不动","2732454975","2.54 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Windows\SoftwareDistribution.bak-20251026-233358","2595550114","2.42 GB","未分类","2026/4/10 15:39:22","2025/10/10 18:23:06","高风险","保留不动","2595550114","2.42 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE","2549279072","2.37 GB","未分类","2026/4/10 15:31:57","2025/11/9 23:26:48","高风险","保留不动","2549279072","2.37 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-36.1\google_apis_playstore\x86_64","2545445167","2.37 GB","未分类","2026/4/10 15:28:13","2026/2/24 19:13:15","高风险","保留不动","2545445167","2.37 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
"Directory","C:\Users\m1389\AppData\Local\Android\Sdk\system-images\android-36.1\google_apis_playstore","2545445167","2.37 GB","未分类","2026/4/10 15:45:33","2026/2/24 19:13:15","高风险","保留不动","2545445167","2.37 GB","路径用途不明或属于工作/系统关键区域，默认保留。"
