"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","D:\Program Files\Tencent\GameAssist\Image\data.vhd","57094351872","53.17 GB","虚拟机镜像、容器镜像","2026/4/10 15:48:05","2026/4/10 15:48:05","高风险","保留不动","57094351872","53.17 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。",,
"File","D:\Program Files\Tencent\GameAssist\Image\5.10.5410.117\system.vhd","1726387712","1.61 GB","虚拟机镜像、容器镜像","2026/4/5 9:44:11","2026/3/30 19:31:56","高风险","保留不动","1726387712","1.61 GB","虚拟磁盘和容器层删除后会直接影响运行环境，必须保守处理。",,
"File","D:\Program Files\Tencent\GameAssistData\app\C8884E7BD3EA704DF977B7E9E8DE49D5_1000088_com.tencent.letsgo_1000088.apk","1826574323","1.70 GB","游戏文件与游戏缓存","2026/4/10 13:49:51","2026/4/10 13:49:51","中风险","需要用户确认","1826574323","1.70 GB","游戏资源可重装但体积大，回收空间高，代价是重装时间和流量。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\irwn_dit-v2-fp16-128x128.onnx.data","2840294400","2.65 GB","AI 模型权重、数据集、缓存","2026/3/21 23:35:57","2026/3/21 23:35:57","中风险","需要用户确认","2840294400","2.65 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\irwn_dit-v2-fp32-128x128.onnx.data","5680660480","5.29 GB","AI 模型权重、数据集、缓存","2026/3/21 23:29:18","2025/12/24 10:54:09","中风险","需要用户确认","5680660480","5.29 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\ldu21-v2-fp16-64x64-ov.tz","2211683581","2.06 GB","AI 模型权重、数据集、缓存","2026/3/21 23:29:23","2025/12/24 11:02:08","中风险","需要用户确认","2211683581","2.06 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\ldu21-v2-fp32-64x64-rt809-10800-rt.tz2","2443413022","2.28 GB","AI 模型权重、数据集、缓存","2026/3/21 23:41:23","2026/3/21 23:41:23","中风险","需要用户确认","2443413022","2.28 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\rxl_unet0-v2-fp16.pb","2439033600","2.27 GB","AI 模型权重、数据集、缓存","2026/4/6 17:20:29","2025/12/24 11:06:35","中风险","需要用户确认","2439033600","2.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\rxl_unet1-v2-fp16.pb","2441165568","2.27 GB","AI 模型权重、数据集、缓存","2026/4/6 17:52:30","2025/12/24 11:10:19","中风险","需要用户确认","2441165568","2.27 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\ssdunet-v1-fp16-64x64-ov.tz2","1733588632","1.61 GB","AI 模型权重、数据集、缓存","2026/3/21 23:29:32","2025/12/24 11:14:09","中风险","需要用户确认","1733588632","1.61 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\ssdunet-v1-fp16-64x64-ox.tz2","1732427502","1.61 GB","AI 模型权重、数据集、缓存","2026/3/21 23:29:33","2026/3/11 12:22:06","中风险","需要用户确认","1732427502","1.61 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\stdmax-v1-fp16-192x192-ov.tz2","1713534145","1.60 GB","AI 模型权重、数据集、缓存","2026/3/21 23:29:35","2025/12/24 11:19:34","中风险","需要用户确认","1713534145","1.60 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\stdmax-v1-fp16-192x192-ox.tz2","1778496458","1.66 GB","AI 模型权重、数据集、缓存","2026/3/22 2:11:17","2025/12/24 11:22:11","中风险","需要用户确认","1778496458","1.66 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Gigapixel\models\tpn_unet-v1-fp16-64x64-ox.tz2","1720324834","1.60 GB","AI 模型权重、数据集、缓存","2026/3/22 1:46:20","2026/3/11 12:25:17","中风险","需要用户确认","1720324834","1.60 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Video\models\models-astra-1.0.zip","3322196346","3.09 GB","视频、压缩包、安装包","2026/3/10 22:52:44","2026/3/10 22:52:44","中风险","需要用户确认","3322196346","3.09 GB","大体积媒体或安装介质适合归档或删除，但需确认是否仍有使用需求。",,
"File","D:\Program Files\Topaz Labs LLC\Topaz Video\models\Lib\site-packages\torch\lib\torch_cuda.dll","1417319424","1.32 GB","AI 模型权重、数据集、缓存","2026/3/10 22:59:13","2026/3/10 22:59:13","中风险","需要用户确认","1417319424","1.32 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\Content\Paks\p_f_starp_additional_4-WindowsClient.pak","1596619416","1.49 GB","未分类","2026/3/24 20:45:09","2026/3/24 20:45:09","高风险","保留不动","1596619416","1.49 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\Content\Paks\p_f_starp_essential_3-WindowsClient.pak","1653135533","1.54 GB","未分类","2026/3/24 20:45:34","2026/3/24 20:45:34","高风险","保留不动","1653135533","1.54 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
"File","D:\Program Files\元梦之星-山海寻灵(2002532)\LetsGo\Content\Paks\res_base-WindowsClient.pak","1188798291","1.11 GB","未分类","2026/3/24 20:46:03","2026/3/24 20:46:03","高风险","保留不动","1188798291","1.11 GB","路径用途不明或属于工作/系统关键区域，默认保留。",,
