"ItemType","Path","SizeBytes","SizeHuman","Category","LastAccessTime","LastWriteTime","RiskLevel","SuggestedAction","EstimatedReleaseBytes","EstimatedReleaseHuman","Reason","Hash","DuplicateGroup"
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-HighNoise-Q8_0.gguf","15406608896","14.35 GB","AI 模型权重、数据集、缓存","2025/11/1 21:27:32","2025/8/18 0:09:48","中风险","需要用户确认","15406608896","14.35 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-LowNoise-Q3_K_M.gguf","7176106496","6.68 GB","AI 模型权重、数据集、缓存","2025/10/16 23:59:05","2025/8/13 18:03:24","中风险","需要用户确认","7176106496","6.68 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-LowNoise-Q3_K_S.gguf","6515012096","6.07 GB","AI 模型权重、数据集、缓存","2026/3/1 1:57:15","2025/8/13 18:04:08","中风险","需要用户确认","6515012096","6.07 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-LowNoise-Q4_K_M.gguf","9651728896","8.99 GB","AI 模型权重、数据集、缓存","2026/3/1 13:07:06","2025/8/16 13:44:09","中风险","需要用户确认","9651728896","8.99 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-LowNoise-Q5_K_M.gguf","10792055296","10.05 GB","AI 模型权重、数据集、缓存","2026/3/1 13:59:14","2025/8/16 21:08:18","中风险","需要用户确认","10792055296","10.05 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\unet\Wan2.2-I2V-A14B-LowNoise-Q8_0.gguf","15406608896","14.35 GB","AI 模型权重、数据集、缓存","2025/11/1 21:31:46","2025/8/18 0:13:49","中风险","需要用户确认","15406608896","14.35 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\ComfyUI_windows_portable\ComfyUI\models\upscale_models\model.ckpt","2039822129","1.90 GB","AI 模型权重、数据集、缓存","2026/4/6 18:36:15","2026/4/6 18:35:22","中风险","需要用户确认","2039822129","1.90 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\ControlNet\control_v11p_sd15s2_lineart_anime\diffusion_pytorch_model.safetensors","1445157124","1.35 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:11","2026/4/2 23:55:16","中风险","需要用户确认","1445157124","1.35 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\ControlNet\manga-recolor\ControlNet-manga-recolor.safetensors","5004167864","4.66 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:11","2026/4/2 21:48:07","中风险","需要用户确认","5004167864","4.66 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\ControlNet\manga-recolor\ControlNet-manga-recolor15.safetensors","1445157120","1.35 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:11","2026/4/2 21:44:08","中风险","需要用户确认","1445157120","1.35 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\超梦AdamMix_Qwen丨开放版-真实二次元幻想CG大模型丨多模态千问修仙科幻古风小说_F.V2.safetensors","17078861902","15.91 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/9/20 11:31:48","中风险","需要用户确认","17078861902","15.91 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\鬼灵 FLUX-V3丨中式恐怖武侠古风悬疑神话鬼怪电商万圣节_V3.safetensors","11901497152","11.08 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/9/21 10:11:51","中风险","需要用户确认","11901497152","11.08 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
"File","E:\webui_forge_cu121_torch231\webui\models\Stable-diffusion\flux\国风山水插画Ultra_FLUX版.safetensors","11901517992","11.08 GB","AI 模型权重、数据集、缓存","2026/4/6 18:17:03","2025/9/20 16:53:17","中风险","需要用户确认","11901517992","11.08 GB","AI 目录通常体积巨大，若是缓存或可重下资源，回收空间潜力高。",,
